GeneID	GPL
10000	GPL570
10001	GPL570
10002	GPL570
10003	GPL570
10004	GPL570
10005	GPL570
10006	GPL570
10007	GPL570
10009	GPL570
1000	GPL570
10010	GPL570
100129128	GPL570
100129250	GPL570
100129271	GPL570
100129361	GPL570
100129482	GPL570
100132341	GPL570
100132476	GPL570
100137047	GPL570
10013	GPL570
10014	GPL570
10015	GPL570
10016	GPL570
10017	GPL570
100188893	GPL570
10018	GPL570
10019	GPL570
1001	GPL570
10020	GPL570
10021	GPL570
10022	GPL570
10023	GPL570
10024	GPL570
10025	GPL570
10026	GPL570
100272147	GPL570
100287932	GPL570
100288413	GPL570
100289678	GPL570
100293516	GPL570
1002	GPL570
100316904	GPL570
10036	GPL570
10038	GPL570
10039	GPL570
1003	GPL570
10040	GPL570
10042	GPL570
10043	GPL570
10045	GPL570
10046	GPL570
10047	GPL570
10048	GPL570
10049	GPL570
1004	GPL570
100505741	GPL570
100506144	GPL570
100506581	GPL570
100507436	GPL570
10050	GPL570
10051	GPL570
10052	GPL570
10053	GPL570
10054	GPL570
10055	GPL570
10057	GPL570
10058	GPL570
10059	GPL570
1005	GPL570
10060	GPL570
10061	GPL570
10062	GPL570
10066	GPL570
10067	GPL570
10069	GPL570
1006	GPL570
10072	GPL570
10073	GPL570
10075	GPL570
10076	GPL570
10077	GPL570
10078	GPL570
10079	GPL570
1007	GPL570
10083	GPL570
10084	GPL570
10085	GPL570
10086	GPL570
10087	GPL570
10089	GPL570
1008	GPL570
10090	GPL570
10092	GPL570
10093	GPL570
10095	GPL570
10096	GPL570
10097	GPL570
10098	GPL570
10099	GPL570
1009	GPL570
100	GPL570
10100	GPL570
10101	GPL570
10102	GPL570
10103	GPL570
10105	GPL570
10106	GPL570
10107	GPL570
10109	GPL570
1010	GPL570
10110	GPL570
10111	GPL570
10112	GPL570
10113	GPL570
10114	GPL570
10116	GPL570
10120	GPL570
10121	GPL570
10123	GPL570
10125	GPL570
10126	GPL570
10127	GPL570
10128	GPL570
10129	GPL570
1012	GPL570
10130	GPL570
10131	GPL570
10133	GPL570
10134	GPL570
10135	GPL570
10136	GPL570
10137	GPL570
10138	GPL570
10139	GPL570
1013	GPL570
10140	GPL570
10142	GPL570
10144	GPL570
10146	GPL570
10147	GPL570
10148	GPL570
10149	GPL570
1014	GPL570
10150	GPL570
10152	GPL570
10153	GPL570
10154	GPL570
10155	GPL570
10157	GPL570
10158	GPL570
10159	GPL570
1015	GPL570
10160	GPL570
10161	GPL570
10162	GPL570
10163	GPL570
10164	GPL570
10165	GPL570
10166	GPL570
10168	GPL570
1016	GPL570
10170	GPL570
10171	GPL570
10174	GPL570
10175	GPL570
10178	GPL570
10179	GPL570
1017	GPL570
10180	GPL570
10181	GPL570
10184	GPL570
10186	GPL570
10188	GPL570
10190	GPL570
10193	GPL570
10195	GPL570
10196	GPL570
10197	GPL570
10198	GPL570
10199	GPL570
1019	GPL570
101	GPL570
10200	GPL570
10201	GPL570
10202	GPL570
10203	GPL570
10205	GPL570
10206	GPL570
10207	GPL570
10208	GPL570
10209	GPL570
1020	GPL570
10210	GPL570
10211	GPL570
10212	GPL570
10213	GPL570
10214	GPL570
10215	GPL570
10216	GPL570
10217	GPL570
10218	GPL570
10219	GPL570
1021	GPL570
